experiment_id,algorithm,dataset,distribution,num_clients,dirichlet_alpha,differential_privacy,client_dropout_prob,final_accuracy,final_auc,training_rounds
exp_238,fedprox,cancer,noniid,3,,true,0.3,0.836555360281195,0.9869721473495058,10
exp_239,fedprox,cancer,noniid,5,,true,0.3,0.9384885764499121,0.9863115057343692,10
exp_240,fedprox,cancer,noniid,10,,true,0.3,0.929701230228471,0.975463770413826,10
exp_241,fedprox,cancer,noniid,3,,true,0.5,0.9349736379613357,0.9846070503673168,10
exp_242,fedprox,cancer,noniid,5,,true,0.5,0.6274165202108963,0.9681702869827177,10
exp_243,fedprox,cancer,noniid,10,,true,0.5,0.9490333919156415,0.9868135933618731,10
exp_244,fedprox,cancer,noniid,3,,false,0.0,0.9437609841827768,0.9874213836477987,10
exp_245,fedprox,cancer,noniid,5,,false,0.0,0.9261862917398945,0.9876327889646426,10
exp_246,fedprox,cancer,noniid,10,,false,0.0,0.945518453427065,0.9911341895248664,10
exp_247,fedprox,cancer,noniid,3,,false,0.3,0.9279437609841827,0.9864436340573965,10
exp_248,fedprox,cancer,noniid,5,,false,0.3,0.9033391915641477,0.985188414988637,10
exp_249,fedprox,cancer,noniid,10,,false,0.3,0.9103690685413005,0.9894693726547223,10
exp_250,fedprox,cancer,noniid,3,,false,0.5,0.9332161687170475,0.9829818719940807,10
exp_251,fedprox,cancer,noniid,5,,false,0.5,0.9507908611599297,0.986668252206543,10
exp_252,fedprox,cancer,noniid,10,,false,0.5,0.843585237258348,0.9863907827281857,10
exp_253,fedprox,cancer,dirichlet,3,10.0,true,0.0,0.9332161687170475,0.9882802177474763,10
exp_254,fedprox,cancer,dirichlet,3,1.0,true,0.0,0.9437609841827768,0.9873553194862851,10
exp_255,fedprox,cancer,dirichlet,5,10.0,true,0.0,0.9033391915641477,0.9814359706146609,10
exp_256,fedprox,cancer,dirichlet,5,1.0,true,0.0,0.9244288224956063,0.9790444479678665,10
exp_257,fedprox,cancer,dirichlet,10,10.0,true,0.0,0.9244288224956063,0.9814756091115692,10
exp_258,fedprox,cancer,dirichlet,10,1.0,true,0.0,0.6274165202108963,0.9139976745415147,10
exp_259,fedprox,cancer,dirichlet,3,10.0,true,0.3,0.9332161687170475,0.9920855134506632,10
exp_260,fedprox,cancer,dirichlet,3,1.0,true,0.3,0.929701230228471,0.9803789440304425,10
exp_261,fedprox,cancer,dirichlet,5,10.0,true,0.3,0.8523725834797891,0.9804317953596533,10
exp_262,fedprox,cancer,dirichlet,5,1.0,true,0.3,0.6889279437609842,0.9772210771100893,10
exp_263,fedprox,cancer,dirichlet,10,10.0,true,0.3,0.773286467486819,0.9673114528830401,10
exp_264,fedprox,cancer,dirichlet,10,1.0,true,0.3,0.9156414762741653,0.9808017546641298,10
exp_265,fedprox,cancer,dirichlet,3,10.0,true,0.5,0.9103690685413005,0.9821626763913113,10
exp_266,fedprox,cancer,dirichlet,3,1.0,true,0.5,0.9279437609841827,0.9824665715342741,10
exp_267,fedprox,cancer,dirichlet,5,10.0,true,0.5,0.9420035149384886,0.9821098250621003,10
exp_268,fedprox,cancer,dirichlet,5,1.0,true,0.5,0.9209138840070299,0.9844617092119867,10
exp_269,fedprox,cancer,dirichlet,10,10.0,true,0.5,0.8787346221441125,0.962369853601818,10
exp_270,fedprox,cancer,dirichlet,10,1.0,true,0.5,0.7996485061511424,0.9338037101633105,10
exp_271,fedprox,cancer,dirichlet,3,10.0,false,0.0,0.945518453427065,0.9878309814491834,10
exp_272,fedprox,cancer,dirichlet,3,1.0,false,0.0,0.9525483304042179,0.9916891284815814,10
exp_273,fedprox,cancer,dirichlet,5,10.0,false,0.0,0.9384885764499121,0.9870910628402304,10
exp_274,fedprox,cancer,dirichlet,5,1.0,false,0.0,0.929701230228471,0.9804846466888643,10
exp_275,fedprox,cancer,dirichlet,10,10.0,false,0.0,0.9648506151142355,0.9898129062945933,10
exp_276,fedprox,cancer,dirichlet,10,1.0,false,0.0,0.9349736379613357,0.9874742349770097,10
exp_277,fedprox,cancer,dirichlet,3,10.0,false,0.3,0.9525483304042179,0.9891522646794567,10
exp_278,fedprox,cancer,dirichlet,3,1.0,false,0.3,0.9543057996485061,0.9921251519475716,10
